ad_id,ad_type,real_estate_type,region,city,type,living_area,land_area,floor,building_year,price,seller
6739045,prodaja,stanovanje,podravska,maribor,3-sobno,93.4,,2/3,1936,186900.0,zasebna ponudba
6790536,prodaja,stanovanje,podravska,maribor,2-sobno,59.0,,1/5,1963,189000.0,zasebna ponudba
6782138,prodaja,stanovanje,podravska,maribor,3-sobno,106.0,,vp/3,1937,195000.0,"idila nepremičnine, damijan kokol s.p."
6785649,prodaja,stanovanje,podravska,maribor,5 in večsobno,340.8,648.0,,1951,398000.0,"gral real, nepremičninska agencija, d.o.o."
6839263,prodaja,stanovanje,podravska,maribor,2-sobno,81.9,,1/3,1935,205000.0,24nep d.o.o.
6839392,prodaja,stanovanje,podravska,maribor,2-sobno,103.3,,2/4,1900,170000.0,zasebna ponudba
6779686,prodaja,stanovanje,podravska,maribor,5 in večsobno,156.0,,3,1850,299000.0,"galea, nepremičnine, posredovanje d.o.o."
6748110,prodaja,stanovanje,podravska,maribor,4-sobno,162.0,,1,1928,300000.0,rojal invest d.o.o.
6790341,prodaja,stanovanje,podravska,maribor,3-sobno,74.3,,4/5,1986,199990.0,market center omnis d.o.o.
6691543,prodaja,stanovanje,podravska,maribor,4-sobno,104.5,,vp/3,1927,250000.0,"galea, nepremičnine, posredovanje d.o.o."
6821367,prodaja,stanovanje,podravska,maribor,5 in večsobno,166.9,,4/4,2009,399000.0,market center omnis d.o.o.
6836160,prodaja,stanovanje,podravska,melje,"1,5-sobno",35.0,,1,2025,123100.0,"re/max avenija, nepremičnine maribor d.o.o."
6838690,prodaja,stanovanje,podravska,melje,1-sobno,37.6,,2/5,1898,85000.0,conexa d.o.o.
6836156,prodaja,stanovanje,podravska,melje,2-sobno,48.0,,1,2025,175200.0,"re/max avenija, nepremičnine maribor d.o.o."
6815566,prodaja,stanovanje,podravska,melje,3-sobno,49.0,,1/3,2025,150000.0,"re/max avenija, nepremičnine maribor d.o.o."
6681568,prodaja,stanovanje,podravska,melje,2-sobno,64.2,,p,2022,172992.05,"c-nep agencija, d.o.o."
6787313,prodaja,stanovanje,podravska,melje,"3,5-sobno",78.7,,4,1898,146900.0,"c-nep agencija, d.o.o."
